@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute left_hit {0,1,2}
@attribute left_type {0,1,2,3}
@attribute left_pos numeric
@attribute right_hit {0,1,2}
@attribute right_type {0,1,2,3}
@attribute right_pos numeric
@attribute kick {0,1,2}

@data
36,'2019/04/12 13:33:06:400',7,13771611136,24501045248,24648179712,16472054784,16190544896,17028902912,1601144832,1751358464,7954384896,6201779200,4495319552,2640585984,14709864448,19312173056,7952185856,1037387264,6541514240,7600388608,3742088704,1249311616,23591530496,20781340672,5972506112,2688658944,26306928640,27705327616,4339082752,1101134720,27419916288,28816971776,8616689664,3902195712,28190365696,29683623936,10637958144,6213343232,29055393792,30715258880,5390902784,4989082624,0,0,0,?,1,0,?,?,?,?
37,'2019/04/12 13:33:06:648',7,13842753536,24269379584,23496499200,15999065088,16587471872,17791188992,1388573184,1655229056,6347709952,3997507072,5089899520,2614890752,15220972544,16621880320,8360412160,1021113280,7122523648,11837639680,3662949376,1090603264,21012029440,18003152896,6209984512,2695321344,26314031104,27684956160,4275442432,994862656,27416680448,28812322816,8417464832,3892636928,28188059648,29679949824,10632865792,6160302080,29061881856,30706130944,5408784896,5010292224,0,0,0,?,1,0,?,?,?,?
38,'2019/04/12 13:33:06:898',7,13453935616,23775467520,23657269248,16268138496,16565754880,19114905600,881062208,1687670912,15467933696,7202201600,4050425600,1910928640,7735006720,8481680384,7951935488,1916191872,18398273536,20114499584,5541616128,575940480,6549104128,6250370048,6935802880,3612480512,25593231360,26809198592,3897953280,995125952,27443902464,28811143168,8089982976,1999326080,28197484544,29662482432,10629304320,6714693632,29076649984,30689150976,5419043328,5007961088,0,0,0,?,1,0,?,?,?,?
39,'2019/04/12 13:33:07:148',7,13645496320,23912708096,21807869952,15191767040,17559066624,19307581440,955884032,1549011584,23111241728,18644721664,2179252480,1422907392,11775882240,5170609664,5013633024,2210553088,8626553856,10906775552,12343675904,1226686720,20083976192,19035613184,3568062720,1937174912,6433071104,6242745344,6231422976,2804609280,26045601792,28276799488,6946682880,1677112192,28158664704,29661048832,10650660864,5895436288,29063229440,30672455680,5393502720,4941793792,0,0,0,?,1,0,?,?,?,?
40,'2019/04/12 13:33:07:396',7,13258503168,24209938432,19580121088,13302876160,19446951936,19487633408,1262855424,1916911488,23153678336,19589197824,2627445760,2200081920,24129230848,20303597568,1564013952,917116864,9248988160,3960428288,5303372800,2181175040,8082860032,12615365632,12653986816,1017594304,19127339008,17601820672,1947349760,3238346240,5508466688,3541077248,4945964544,1868731008,25677565952,28172986368,10591569920,4538794496,29178349568,30828285952,5437856256,4980139520,0,0,0,?,1,0,?,?,?,?
41,'2019/04/12 13:33:07:650',7,17041160192,29764163584,23447762944,16723232768,23793117184,25371447296,3043753984,4496594944,29732784128,25510684672,5442257920,4390760960,30945245184,28382834688,3884518144,2718766080,19571892224,8706084864,4379102208,3625882624,8750682112,15333419008,13416051712,2459404032,18136860672,21062758400,1887246080,2864239104,7843496960,2555068672,3412785920,2644566016,28442771456,23265812480,12706637824,6214099968,32212252672,32212252672,7906912256,7349673472,0,0,0,?,1,0,?,?,?,?
42,'2019/04/12 13:33:07:899',7,19436666880,31674793984,30439888896,20535103488,23731843072,28609087488,4782630912,6304646144,32047990784,27799699456,7476527616,4736590848,29972563968,20577193984,5882162176,2893154560,10690803712,10411031552,7571345920,4929748480,12770628608,16836617216,8599617536,899054336,10096677888,5769668608,1860757504,1403934848,29921712128,22750349312,8693571584,2062134656,32212252672,32212252672,15638084608,8329828864,32212252672,32212252672,9319236608,7735613440,0,0,0,?,1,0,?,?,?,?
43,'2019/04/12 13:33:08:152',7,19540668416,31559976960,30294355968,20822626304,24967700480,28719902720,4720570880,5358279168,30915856384,23723692032,7084490752,3284494848,12340117504,9158679552,3640730368,2928898816,10877478912,14680919040,6984360448,700160256,10143413248,8833991680,3971827712,2264771584,27925833728,23776108544,11510276096,5552024576,32212252672,32212252672,9147590656,1183871232,32212252672,32212252672,15875868672,9950618624,32212252672,32212252672,9295464448,8330999296,0,0,0,?,1,0,?,?,?,?
44,'2019/04/12 13:33:08:400',7,19638890496,31484119040,29279967232,21183672320,25763182592,28569333760,3780014080,4397666816,27296159744,14715462656,7301360640,3675926528,11129414656,13099109376,3320328448,2236314624,13199958016,17709647872,6500739072,933413824,11711358976,10080369664,8003564544,5660188160,30664511488,27292116992,8679049216,2931438848,32212252672,32212252672,10080033792,3148917760,32212252672,32212252672,16536205312,12043626496,32212252672,32212252672,9271874560,8957193216,0,0,0,?,1,0,?,?,?,?
45,'2019/04/12 13:33:08:646',7,20904151040,31205953536,25248020480,20411953152,27730049024,28454645760,3161331456,3823409664,28685199360,18849120256,5958642688,2234893824,11170607104,10766357504,8927571968,4459225600,18304284672,22953560064,9730820096,1212620544,8812296192,7533304832,5362618368,4437445120,28916750336,23878068224,10555058176,3121617664,32212252672,32212252672,11248647168,5547084288,32212252672,32212252672,16551357440,13517065216,32212252672,32212252672,9289859072,9063886848,0,0,0,?,1,0,?,?,?,?
